"cpv_prefix","count"
"33","7417"
"45","4211"
"72","1575"
"15","1541"
"50","1294"
"30","1216"
"90","1166"
"71","1089"
"60","1086"
"79","947"
"39","842"
"34","818"
"44","732"
"48","682"
"38","516"
"66","492"
"77","424"
"55","402"
"32","391"
"42","381"
"09","346"
"24","337"
"63","327"
"18","317"
"85","310"
"35","280"
"03","251"
"92","235"
"31","226"
"64","222"
"98","197"
"22","180"
"80","172"
"65","108"
"43","94"
"51","78"
"16","61"
"73","59"
"14","55"
"75","55"
"19","50"
"37","38"
"70","21"
"76","14"
"41","1"
