"cpv_prefix","count"
"33","2896"
"45","2462"
"72","1069"
"15","1021"
"34","818"
"60","783"
"50","782"
"48","682"
"79","549"
"30","533"
"71","501"
"66","492"
"90","472"
"44","410"
"09","346"
"85","310"
"39","305"
"55","261"
"92","235"
"38","223"
"64","222"
"77","221"
"42","214"
"32","197"
"98","197"
"80","172"
"24","163"
"03","146"
"63","146"
"18","110"
NULL,"100"
"35","96"
"31","95"
"22","85"
"51","78"
"14","55"
"43","52"
"65","50"
"19","50"
"73","44"
"37","38"
"16","37"
"75","36"
"70","21"
"76","14"
"41","1"
"","1"
