"cpv3","preco_total","count","mean","std","min","q1","q2","q3","max"
"641","6700942.855781251",57,"117560.40097861843","179755.15111345242","1575","10639.2","60000","165892.2","885500"
"718","96425",2,"48212.5","13735.549224548686","38500","43356.25","48212.5","53068.75","57925"
"805","15894152.76790161",185,"85914.33928595466","122469.91643935765","0","10494","34815","106942.5","743040"
"435","24700",1,"24700","NaN","24700","24700","24700","24700","24700"
"660","11329849.580078127",60,"188830.82633463544","198886.93250322383","0","46768.86546875","123580.6046875","267946.875","979997.0625"
"631","3011526.6696875",20,"150576.333484375","171785.63491331867","8105","68031.3625","90075","170349","748000.01"
"313","6608827.1825",11,"600802.4711363637","1171130.7785031311","1035","5934.55","34777.47","274669.90625","3255657.75"
"151","31429671.71559082",687,"45749.158246857085","211404.78214538118","16.5","6714.945","21981.419921875","49132.17578125","5192640.68"
"712","64411929.33333985",832,"77418.18429487963","153184.53355766356","0","17473.61767578125","39157.5","88850.625","2879947.15"
"393","13907799.23760254",155,"89727.73701679058","175362.7536951399","441.3999938964844","10730.2","40000","102881.9840625","1795000"
"160","11723619.418691406",52,"225454.21959021935","354565.9690098173","0","31800","104328.785","220352.75","2066874"
"900","26773147.09175781",159,"168384.57290413717","229018.03948726592","1700","38177.15","83980","203623.735","1418715.375"
"157","5125436.104794921",78,"65710.71929224257","87617.4307726389","948","9591.91","39646.5","95449.529296875","521364.06"
"716","29507260.406464845",254,"116170.31656088521","208539.13238433766","0","35016.3","78040.575","129997.85","2213952"
"140","477800",2,"238900","3676.9552621700473","236300","237600","238900","240200","241500"
"422","1002073.7503124999",18,"55670.763906249995","54905.11540912799","885","18627.4575","43541.8046875","73476.720703125","195788"
"512","7496403.2524999995",28,"267728.6875892857","288239.0564644816","0","60271.58","185305.70500000002","470365.953125","1266600"
"380","14565312.212011717",314,"46386.34462424114","84011.55516589218","0","3561.4000244140625","11448.5","50302.075","659080"
"806","18981.669921875",1,"18981.669921875","NaN","18981.669921875","18981.669921875","18981.669921875","18981.669921875","18981.669921875"
"342","5227771.886875",35,"149364.9110535714","158421.61553451102","7300","41760","90000","194686","698579.07"
"751","6733876.89125",47,"143273.97640957448","213756.53504975684","0","20674.64","76000","155380.36","1272000.96"
"731","2182812.165625",19,"114884.85082236842","107739.00883202036","0","54500","62300","178644.2","360000"
"351","31992657.151223756",338,"94652.83180835431","237009.28157260633","0","5431.25","24275","78693","2926716.42"
"195","4924855.842050401",93,"52955.43916183226","94905.79204082185","0","1983.7","20560","64041.57","761541.1875"
"159","3958895.945592041",164,"24139.609424341714","32842.30611000408","80.22","5187.375","12295.43","27844.9","190000"
"485","33677569.63298828",62,"543186.6069836819","2693000.091975797","0","3797.8325","18897.18017578125","199581.3203125","20791636"
