"cpv","tipocontrato","nec_t","count","mean","std","min","q1","q2","q3","max"
"98","Bens e Serviços","1723","581","2.9655765920826163","2.2435007788174652","1","1","2","4","15"
"98","Empreitadas","4","2","2","1.4142135623730951","1","1.5","2","2.5","3"
"98","Outro","12","3","4","4.358898943540674","1","1.5","2","5.5","9"
"92","Bens e Serviços","2126","679","3.1310751104565537","2.5023099402597913","1","1","3","4","18"
"92","Empreitadas","1","1","1","NaN","1","1","1","1","1"
"90","Bens e Serviços","27135","4031","6.731580253038948","4.878360833851633","1","3","6","9","27"
"85","Bens e Serviços","4496","1230","3.6552845528455284","2.8110905328817437","1","1","3","5","18"
"85","Empreitadas","1","1","1","NaN","1","1","1","1","1"
"80","Bens e Serviços","1812","495","3.6606060606060606","3.362986737096999","1","1","3","5","32"
"79","Bens e Serviços","20464","3677","5.565406581452271","4.007186135966351","1","2","5","8","30"
"79","Outro","5","1","5","NaN","5","5","5","5","5"
"77","Bens e Serviços","13300","1527","8.709888670595939","6.448225124909674","1","4","8","12","33"
"77","Empreitadas","1","1","1","NaN","1","1","1","1","1"
"76","Bens e Serviços","64","28","2.2857142857142856","1.5600841111499193","1","1","1.5","3.25","6"
"75","Bens e Serviços","606","134","4.522388059701493","4.179643503721606","1","1","3","6","21"
"73","Bens e Serviços","598","121","4.9421487603305785","6.532352206085692","1","1","3","6","32"
"72","Bens e Serviços","12662","3080","4.111038961038961","4.807500117602548","1","1","2","5","32"
"71","Bens e Serviços","27341","3418","7.9991222937390285","7.4275546547643545","1","3","6","11","54"
"71","Empreitadas","55","12","4.583333333333333","3.82475984589724","1","1.75","4","4.75","14"
"70","Bens e Serviços","111","40","2.775","3.050746020574522","1","1","1","2.25","14"
"66","Bens e Serviços","11105","2792","3.97743553008596","2.132277278263615","1","2","4","6","11"
"65","Bens e Serviços","1476","339","4.353982300884955","2.8645569914180906","1","2","4","6","12"
"64","Bens e Serviços","2379","962","2.472972972972973","1.5887865700394332","1","2","2","3","29"
"63","Bens e Serviços","7115","831","8.561973525872443","6.509544277667427","1","2","8","14","24"
"60","Bens e Serviços","12886","2929","4.399453738477296","3.444358613569946","1","1","4","6","27"
"60","Outro","3","1","3","NaN","3","3","3","3","3"
"55","Bens e Serviços","7376","1356","5.43952802359882","7.7187671471251695","1","2","4","5","46"
"55","Outro","18","9","2","1.6583123951777","1","1","1","2","6"
"51","Bens e Serviços","475","193","2.461139896373057","1.851180013901603","1","1","2","3","12"
"50","Bens e Serviços","17153","3172","5.407629255989912","7.28614881002773","1","2","3","6","40"
"50","Empreitadas","55","15","3.6666666666666665","3.154739442867026","1","1","2","6.5","10"
"48","Bens e Serviços","5520","1717","3.2149097262667445","3.300570190816012","1","1","2","4","19"
"45","Empreitadas","103881","17913","5.799196114553676","4.428698611874812","1","3","5","8","38"
"44","Bens e Serviços","8598","2123","4.049929345266133","2.879671960173603","1","2","4","5.5","20"
"43","Bens e Serviços","988","239","4.133891213389122","3.556102271626479","1","2","3","5","15"
"42","Bens e Serviços","4164","985","4.22741116751269","3.531084367074155","1","2","3","6","22"
"42","Empreitadas","14","4","3.5","1","2","3.5","4","4","4"
"41","Bens e Serviços","14","3","4.666666666666667","3.5118845842842465","1","3","5","6.5","8"
"39","Bens e Serviços","18881","2669","7.074185088047958","5.4319185273500326","1","3","6","10","37"
"39","Empreitadas","7","4","1.75","0.9574271077563381","1","1","1.5","2.25","3"
"38","Bens e Serviços","9387","1251","7.503597122302159","7.430786435523477","1","2","4","11","33"
"38","Empreitadas","3","3","1","0","1","1","1","1","1"
"37","Bens e Serviços","777","195","3.9846153846153847","2.5128062168156236","1","2","4","5","12"
"35","Bens e Serviços","6209","875","7.096","7.61621899383242","1","3","5","9","47"
"35","Empreitadas","12","1","12","NaN","12","12","12","12","12"
"34","Bens e Serviços","13336","3730","3.5753351206434316","2.6279706571865113","1","2","3","5","17"
"34","Empreitadas","96","6","16","6.418722614352485","3","17.5","19","19","19"
"33","Bens e Serviços","265988","23179","11.475387203934597","9.472571018921421","1","4","9","16","65"
"33","Empreitadas","5","1","5","NaN","5","5","5","5","5"
"32","Bens e Serviços","4292","1005","4.270646766169154","3.43209367756123","1","2","3","6","21"
"32","Empreitadas","24","3","8","0","8","8","8","8","8"
"31","Bens e Serviços","3632","748","4.855614973262032","3.6331816071470717","1","2","4","6","27"
"30","Bens e Serviços","30955","4393","7.04643751422718","4.863307442222045","1","3","6","10","21"
"24","Bens e Serviços","3971","846","4.693853427895981","5.198282378799155","1","2","3","5","39"
"22","Bens e Serviços","2196","544","4.036764705882353","3.075257615728844","1","2","3","5","25"
"19","Bens e Serviços","1093","292","3.743150684931507","2.1600371491729233","1","2","4","5","13"
"18","Bens e Serviços","8730","982","8.890020366598778","8.402836895328448","1","4","7","12","53"
"16","Bens e Serviços","788","190","4.147368421052631","2.954571101301894","1","2","3","6","13"
"15","Bens e Serviços","26523","4749","5.584965255843335","5.13747334548636","1","2","4","8","30"
"14","Bens e Serviços","752","245","3.0693877551020408","1.8374746660049777","1","2","3","4","10"
"9","Bens e Serviços","9077","2390","3.797907949790795","2.411722239527518","1","2","3","5","27"
"9","Empreitadas","9","2","4.5","0.7071067811865476","4","4.25","4.5","4.75","5"
"3","Bens e Serviços","2915","661","4.409984871406959","4.044430157982838","1","2","3","6","30"
"0","Outro","136","107","1.2710280373831775","1.1207316802903757","1","1","1","1","6"
