"cpv","nec_t","count","mean","std","min","q1","q2","q3","max"
"98","1739","586","2.967576791808874","2.251071524166536","1","1","2","4","15"
"92","2127","680","3.1279411764705882","2.5018017418048104","1","1","3","4","18"
"90","27135","4031","6.731580253038948","4.878360833851634","1","3","6","9","27"
"85","4497","1231","3.653127538586515","2.810966540796383","1","1","3","5","18"
"80","1812","495","3.6606060606060606","3.3629867370969992","1","1","3","5","32"
"79","20469","3678","5.565252854812398","4.006652046797672","1","2","5","8","30"
"77","13301","1528","8.704842931937172","6.44913015371508","1","4","8","12","33"
"76","64","28","2.2857142857142856","1.5600841111499193","1","1","1.5","3.25","6"
"75","606","134","4.522388059701493","4.179643503721606","1","1","3","6","21"
"73","598","121","4.9421487603305785","6.532352206085692","1","1","3","6","32"
"72","12662","3080","4.111038961038961","4.807500117602548","1","1","2","5","32"
"71","27396","3430","7.987172011661808","7.4204527591598115","1","3","6","11","54"
"70","111","40","2.775","3.050746020574522","1","1","1","2.25","14"
"66","11105","2792","3.97743553008596","2.132277278263615","1","2","4","6","11"
"65","1476","339","4.353982300884955","2.8645569914180906","1","2","4","6","12"
"64","2379","962","2.472972972972973","1.5887865700394332","1","2","2","3","29"
"63","7115","831","8.561973525872443","6.509544277667427","1","2","8","14","24"
"60","12889","2930","4.398976109215017","3.4438676345306676","1","1","4","6","27"
"55","7394","1365","5.416849816849817","7.69934550167186","1","2","4","5","46"
"51","475","193","2.461139896373057","1.851180013901603","1","1","2","3","12"
"50","17208","3187","5.399435205522435","7.272960675966323","1","2","3","6","40"
"48","5520","1717","3.2149097262667445","3.3005701908160123","1","1","2","4","19"
"45","103881","17913","5.799196114553676","4.428698611874812","1","3","5","8","38"
"44","8598","2123","4.049929345266133","2.879671960173603","1","2","4","5.5","20"
"43","988","239","4.133891213389122","3.5561022716264796","1","2","3","5","15"
"42","4178","989","4.224469160768453","3.5246626516597965","1","2","3","5","22"
"41","14","3","4.666666666666667","3.511884584284246","1","3","5","6.5","8"
"39","18888","2673","7.066217732884399","5.431847738869645","1","3","6","10","37"
"38","9390","1254","7.488038277511961","7.428688408581815","1","2","4","11","33"
"37","777","195","3.9846153846153847","2.5128062168156236","1","2","4","5","12"
"35","6221","876","7.101598173515982","7.613668743032932","1","3","5","9","47"
"34","13432","3736","3.595289079229122","2.682886270113832","1","2","3","5","19"
"33","265993","23180","11.475107851596203","9.472462164809883","1","4","9","16","65"
"32","4316","1008","4.281746031746032","3.432999523288032","1","2","3","6","21"
"31","3632","748","4.855614973262032","3.6331816071470717","1","2","4","6","27"
"30","30955","4393","7.04643751422718","4.863307442222045","1","3","6","10","21"
"24","3971","846","4.693853427895981","5.198282378799155","1","2","3","5","39"
"22","2196","544","4.036764705882353","3.075257615728844","1","2","3","5","25"
"19","1093","292","3.743150684931507","2.160037149172923","1","2","4","5","13"
"18","8730","982","8.890020366598778","8.402836895328448","1","4","7","12","53"
"16","788","190","4.147368421052631","2.954571101301894","1","2","3","6","13"
"15","26523","4749","5.584965255843335","5.13747334548636","1","2","4","8","30"
"14","752","245","3.0693877551020408","1.8374746660049777","1","2","3","4","10"
"9","9086","2392","3.798494983277592","2.4108421784048812","1","2","3","5","27"
"3","2915","661","4.409984871406959","4.044430157982838","1","2","3","6","30"
"0","136","107","1.2710280373831775","1.1207316802903757","1","1","1","1","6"
